input,output,label,source,__text__
我忘了借记卡取款密码怎么办？,"请在“XX银行App-我的-安全中心-密码管理”选择“重置取款密码”，完成人脸核身后设置新密码；如线上校验不通过，请携带身份证原件至任一网点办理。
",账户与安全,retrieved,"我忘了借记卡取款密码怎么办？ || 请在“XX银行App-我的-安全中心-密码管理”选择“重置取款密码”，完成人脸核身后设置新密码；如线上校验不通过，请携带身份证原件至任一网点办理。
"
手机丢了怕被人用我的卡，怎么紧急处理？,"请立即在“XX银行App-我的-安全中心-紧急服务”办理“挂失/临时冻结”，或拨打 955xx 选择“挂失止付”；随后更换预留手机号并修改登录/取款密码。如发现可疑交易，请联系人工核查。
",账户与安全,retrieved,"手机丢了怕被人用我的卡，怎么紧急处理？ || 请立即在“XX银行App-我的-安全中心-紧急服务”办理“挂失/临时冻结”，或拨打 955xx 选择“挂失止付”；随后更换预留手机号并修改登录/取款密码。如发现可疑交易，请联系人工核查。
"
我从别的银行给你们银行转账，多久到账？,"跨行转账一般 2 小时内到账，具体以收款行入账为准。通过我行 App“转账-跨行”选择快速通道通常实时/准实时；节假日或风控复核可能延迟，可在“转账记录”里发起进度查询。
",支付与转账,retrieved,"我从别的银行给你们银行转账，多久到账？ || 跨行转账一般 2 小时内到账，具体以收款行入账为准。通过我行 App“转账-跨行”选择快速通道通常实时/准实时；节假日或风控复核可能延迟，可在“转账记录”里发起进度查询。
"
转账显示超过限额，是怎么回事？,"转账限额受多因素影响（实名等级、设备安全、产品限额等）。请在“App-我的-安全中心-限额管理”查看并提升认证等级；如仍受限，可分笔操作或联系人工评估。
",支付与转账,retrieved,"转账显示超过限额，是怎么回事？ || 转账限额受多因素影响（实名等级、设备安全、产品限额等）。请在“App-我的-安全中心-限额管理”查看并提升认证等级；如仍受限，可分笔操作或联系人工评估。
"
信用卡最低还款和全额还款有啥区别？,"选择最低还款可避免逾期，但未还部分会计息；全额还款则不计息。建议在到期日前尽量全额还款，避免利息与信用影响。您可在“信用卡-我的-本期账单”查看金额与到期日。
",信用卡,retrieved,"信用卡最低还款和全额还款有啥区别？ || 选择最低还款可避免逾期，但未还部分会计息；全额还款则不计息。建议在到期日前尽量全额还款，避免利息与信用影响。您可在“信用卡-我的-本期账单”查看金额与到期日。
"
怎么取消信用卡年费？,"部分卡种支持年费减免（如达标免年费/积分抵扣），以卡片条款为准。请在“信用卡-我的-年费与权益”查看减免规则；若已扣收，可在 48 小时内联系人工评估是否可退。
",费用与收费,retrieved,"怎么取消信用卡年费？ || 部分卡种支持年费减免（如达标免年费/积分抵扣），以卡片条款为准。请在“信用卡-我的-年费与权益”查看减免规则；若已扣收，可在 48 小时内联系人工评估是否可退。
"
3个月理财稳不稳定？会不会亏？,"多数理财为“非保本浮动收益”，存在亏损风险；如为保本类会在产品说明中明确标注。请在“理财-产品详情-风险揭示/历史净值”查看条款，并结合自身风险承受能力选择。
",理财与风险,retrieved,"3个月理财稳不稳定？会不会亏？ || 多数理财为“非保本浮动收益”，存在亏损风险；如为保本类会在产品说明中明确标注。请在“理财-产品详情-风险揭示/历史净值”查看条款，并结合自身风险承受能力选择。
"
今天美元兑人民币的汇率是多少？,"汇率实时波动，请以下单页面显示为准。您可在“外汇-实时汇率”或“兑换下单”界面查看当前购/售汇价；如需大额或特殊用途，建议先咨询人工了解时点政策。
",外汇与汇率,retrieved,"今天美元兑人民币的汇率是多少？ || 汇率实时波动，请以下单页面显示为准。您可在“外汇-实时汇率”或“兑换下单”界面查看当前购/售汇价；如需大额或特殊用途，建议先咨询人工了解时点政策。
"
我要申请消费贷款，利率多少？多久能批？,"贷款利率和审批时效会受个人资质、产品条款与时点政策影响，以系统评估及合同为准。您可在“贷款-快速申请”提交资料查看预估结果；如需更详细评估，请转人工。
",贷款与利率,retrieved,"我要申请消费贷款，利率多少？多久能批？ || 贷款利率和审批时效会受个人资质、产品条款与时点政策影响，以系统评估及合同为准。您可在“贷款-快速申请”提交资料查看预估结果；如需更详细评估，请转人工。
"
App 提示人脸识别失败，怎么解决？,"请在光线充足环境下正对摄像头，清除摄像头污渍并关闭强美颜/滤镜后重试；仍失败可在“我的-安全中心-人工核验”提交资料，或携带身份证至网点协助处理。
",App与技术,retrieved,"App 提示人脸识别失败，怎么解决？ || 请在光线充足环境下正对摄像头，清除摄像头污渍并关闭强美颜/滤镜后重试；仍失败可在“我的-安全中心-人工核验”提交资料，或携带身份证至网点协助处理。
"
怎么联系人工客服？,"请在 App 底部“客服中心”输入“人工客服”或拨打 955xx，工作时间 9:00-18:00 接入更快；如遇挂失/盗刷等紧急事项，请直接致电热线选择对应按键。
",网点与人工,retrieved,"怎么联系人工客服？ || 请在 App 底部“客服中心”输入“人工客服”或拨打 955xx，工作时间 9:00-18:00 接入更快；如遇挂失/盗刷等紧急事项，请直接致电热线选择对应按键。
"
转账失败但是钱扣了怎么办？,"部分异常会触发风控复核或退汇，请在“转账记录”查看状态；如 24 小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。
",投诉与争议,retrieved,"转账失败但是钱扣了怎么办？ || 部分异常会触发风控复核或退汇，请在“转账记录”查看状态；如 24 小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。
"
能查一下我这张卡上个月消费多少吗？,"为保护隐私，我们无法直接查看您的账务。请在“XX银行App-账单/明细”按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。
",账户与安全,retrieved,"能查一下我这张卡上个月消费多少吗？ || 为保护隐私，我们无法直接查看您的账务。请在“XX银行App-账单/明细”按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。
"
从理财转出到卡要多久？会有费用吗？,"转出时效与费用以产品条款为准，您可在“理财-持有中-产品详情-赎回规则/费用说明”查看；不同产品可能存在 T+N 到账或赎回费，具体以页面显示为准。
",理财与风险,retrieved,"从理财转出到卡要多久？会有费用吗？ || 转出时效与费用以产品条款为准，您可在“理财-持有中-产品详情-赎回规则/费用说明”查看；不同产品可能存在 T+N 到账或赎回费，具体以页面显示为准。
"
我想把美元换成人民币，有没有额度限制？,"个人年度购汇额度受监管政策限制，请在“外汇-购汇”页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
",外汇与汇率,retrieved,"我想把美元换成人民币，有没有额度限制？ || 个人年度购汇额度受监管政策限制，请在“外汇-购汇”页面查看剩余额度与用途要求；如涉及留学/就医等专项用途，请准备对应材料，必要时联系人工咨询。
"
开卡后怎么调整信用卡额度？,"额度调整需要系统评估，受用卡记录与风险政策影响。请在“信用卡-额度管理”提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
",信用卡,retrieved,"开卡后怎么调整信用卡额度？ || 额度调整需要系统评估，受用卡记录与风险政策影响。请在“信用卡-额度管理”提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
"
为什么被收了短信服务费/账户管理费？,"费用以产品或服务条款为准，您可在“我的-费用与权益/消息服务”查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。
",费用与收费,retrieved,"为什么被收了短信服务费/账户管理费？ || 费用以产品或服务条款为准，您可在“我的-费用与权益/消息服务”查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。
"
我想注销银行卡，需要准备什么？,"请先清空余额、取消代扣与绑订业务后办理注销。可在“我的-账户管理-账户注销”提交申请；如线上不通过，请携带身份证原件至网点办理。
",网点与人工,retrieved,"我想注销银行卡，需要准备什么？ || 请先清空余额、取消代扣与绑订业务后办理注销。可在“我的-账户管理-账户注销”提交申请；如线上不通过，请携带身份证原件至网点办理。
"
帮我报下你们目前的存款利率？,"存款利率可能随时点政策与产品而变动，请以网点公告或 App“存款-产品详情-利率说明”为准。若需大额存单或专项产品，请咨询人工了解当前政策。
",贷款与利率,retrieved,"帮我报下你们目前的存款利率？ || 存款利率可能随时点政策与产品而变动，请以网点公告或 App“存款-产品详情-利率说明”为准。若需大额存单或专项产品，请咨询人工了解当前政策。
"
你们能看到我具体每笔消费吗？,"为保护您的隐私，我们不会查看或公开您的具体消费明细。明细可在“账单/明细”自行查询；若发现异常交易，请第一时间联系人工协助处理。
",账户与安全,retrieved,"你们能看到我具体每笔消费吗？ || 为保护您的隐私，我们不会查看或公开您的具体消费明细。明细可在“账单/明细”自行查询；若发现异常交易，请第一时间联系人工协助处理。
"
...,...,synthetic,synthetic,... || ...
"Hello, can I know the current balance of my account?","You can check your current balance by logging into your bank app or website, navigating to the account details page, and selecting the relevant information.",synthetic,synthetic,"Hello, can I know the current balance of my account? || You can check your current balance by logging into your bank app or website, navigating to the account details page, and selecting the relevant information."
你们有没有热线号?,您可以拨打 400-1234567 热线进行咨询，或者在官网的客户服务页面查看更多联系方式,synthetic,synthetic,你们有没有热线号? || 您可以拨打 400-1234567 热线进行咨询，或者在官网的客户服务页面查看更多联系方式
你可以在什么地方查到最近一年的账单?,您可以在‘XX银行App-账单/明细’按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。,synthetic,synthetic,你可以在什么地方查到最近一年的账单? || 您可以在‘XX银行App-账单/明细’按月份查询，或导出对账单；如需发票/凭证，可在明细页申请。
你好，我想问一下存款利率是什么?,存款利率可能随时点政策与产品而变动，请以网点公告或 App‘存款-产品详情-利率说明’为准。若需大额存单或专项产品，请咨询人工了解当前政策。,synthetic,synthetic,你好，我想问一下存款利率是什么? || 存款利率可能随时点政策与产品而变动，请以网点公告或 App‘存款-产品详情-利率说明’为准。若需大额存单或专项产品，请咨询人工了解当前政策。
你想知道我的信用卡额度的最高限额?,您可以在'信用卡-额度管理'页面查看您的当前额度，系统会根据您的使用习惯和还款记录进行调整。如果您需要提高额度，请提交申请，由系统评估并给出建议。,synthetic,synthetic,你想知道我的信用卡额度的最高限额? || 您可以在'信用卡-额度管理'页面查看您的当前额度，系统会根据您的使用习惯和还款记录进行调整。如果您需要提高额度，请提交申请，由系统评估并给出建议。
你需要报告一些短信服务费/账户管理费了，我怎么操作？,费用以产品或服务条款为准，您可在‘我的-费用与权益/消息服务’查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。,synthetic,synthetic,你需要报告一些短信服务费/账户管理费了，我怎么操作？ || 费用以产品或服务条款为准，您可在‘我的-费用与权益/消息服务’查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。
卡被盗了，怎么办？,请立即联系客服热线，我们会帮助您申请冻结原始卡号并更换新卡，以防止非法使用。,synthetic,synthetic,卡被盗了，怎么办？ || 请立即联系客服热线，我们会帮助您申请冻结原始卡号并更换新卡，以防止非法使用。
如何使用我银行卡的积分?,您可以通过 XX 银行 App-积分管理页面查看您的积分余额和使用积分流程，具体使用规则以积分条款为准。若有任何疑问，请联系人工咨询。,synthetic,synthetic,如何使用我银行卡的积分? || 您可以通过 XX 银行 App-积分管理页面查看您的积分余额和使用积分流程，具体使用规则以积分条款为准。若有任何疑问，请联系人工咨询。
如何关闭短信服务?,您可在'XX银行App-消息服务'页面退订短信服务，或拨打955xx客服电话咨询。,synthetic,synthetic,如何关闭短信服务? || 您可在'XX银行App-消息服务'页面退订短信服务，或拨打955xx客服电话咨询。
如何在XX银行App上查询我的信用卡余额?,您可以在'XX银行App-账户管理'页面查看当前可用额度和信用卡余额，或拨打955xx客服电话咨询。,synthetic,synthetic,如何在XX银行App上查询我的信用卡余额? || 您可以在'XX银行App-账户管理'页面查看当前可用额度和信用卡余额，或拨打955xx客服电话咨询。
如何在您的App中申请提款额度?,请在'信用卡-额度管理'页面提交申请，结果以系统显示为准；如需帮助，可直接致电客服热线咨询。,synthetic,synthetic,如何在您的App中申请提款额度? || 请在'信用卡-额度管理'页面提交申请，结果以系统显示为准；如需帮助，可直接致电客服热线咨询。
如何处理转账失败但是钱扣了?,部分异常会触发风控复核或退汇，请在‘转账记录’查看状态；如 24 小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。,synthetic,synthetic,如何处理转账失败但是钱扣了? || 部分异常会触发风控复核或退汇，请在‘转账记录’查看状态；如 24 小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。
如何开通银行卡的电子账单?,您可以通过XX银行App-账户管理页面或拨打955xx热线咨询工作人员来开通银行卡的电子账单。,synthetic,synthetic,如何开通银行卡的电子账单? || 您可以通过XX银行App-账户管理页面或拨打955xx热线咨询工作人员来开通银行卡的电子账单。
如何提取银行卡的钱?,您可以通过XX银行App-账户管理页面或拨打955xx热线咨询工作人员来提取银行卡的钱。,synthetic,synthetic,如何提取银行卡的钱? || 您可以通过XX银行App-账户管理页面或拨打955xx热线咨询工作人员来提取银行卡的钱。
如何查明个人年度购汇额度剩余?,"请在""外汇-购汇""页面查看剩余额度与用途要求。",synthetic,synthetic,"如何查明个人年度购汇额度剩余? || 请在""外汇-购汇""页面查看剩余额度与用途要求。"
如何查看我的银行卡账单和明细?,您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。,synthetic,synthetic,如何查看我的银行卡账单和明细? || 您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。
如何查询个人银行卡账户?,您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。,synthetic,synthetic,如何查询个人银行卡账户? || 您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。
如何查询信用卡额度?,您可以在 App 的‘信用卡-额度管理’页面查看当前额度和使用历史。如需临时额度或调整，请按页面指引申请并留意到期恢复。,synthetic,synthetic,如何查询信用卡额度? || 您可以在 App 的‘信用卡-额度管理’页面查看当前额度和使用历史。如需临时额度或调整，请按页面指引申请并留意到期恢复。
如何查询我的信用卡额度?,请在'XX银行App-额度管理'页面查看当前额度，或拨打955xx客服电话咨询,synthetic,synthetic,如何查询我的信用卡额度? || 请在'XX银行App-额度管理'页面查看当前额度，或拨打955xx客服电话咨询
如何查询我的银行卡的额度？,请在‘XX银行App-额度管理’页面查看当前额度，或前往网点咨询。,synthetic,synthetic,如何查询我的银行卡的额度？ || 请在‘XX银行App-额度管理’页面查看当前额度，或前往网点咨询。
如何查询账单和明细?,您可以在 'XX银行App-账户管理' 页面查阅账单和明细。具体详请查看帮助中心文档或与客服人员联系。,synthetic,synthetic,如何查询账单和明细? || 您可以在 'XX银行App-账户管理' 页面查阅账单和明细。具体详请查看帮助中心文档或与客服人员联系。
如何查询银行卡账单和消费明细?,为保护您的隐私，我们不会查看或公开您的具体消费明细。明细可在'XX银行App-账户管理'页面按月份查询，或导出对账单；若发现异常交易，请第一时间联系人工协助处理。,synthetic,synthetic,如何查询银行卡账单和消费明细? || 为保护您的隐私，我们不会查看或公开您的具体消费明细。明细可在'XX银行App-账户管理'页面按月份查询，或导出对账单；若发现异常交易，请第一时间联系人工协助处理。
如何查询银行卡账户信息?,您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。,synthetic,synthetic,如何查询银行卡账户信息? || 您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。
如何查询银行卡额度?,您可以在 'XX银行App-账户管理' 页面查看当前额度，或者通过电话热线 955xx 咨询工作人员，具体调整流程以系统显示为准,synthetic,synthetic,如何查询银行卡额度? || 您可以在 'XX银行App-账户管理' 页面查看当前额度，或者通过电话热线 955xx 咨询工作人员，具体调整流程以系统显示为准
如何申请信用卡额度调整?,请在 '信用卡-额度管理' 页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,如何申请信用卡额度调整? || 请在 '信用卡-额度管理' 页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
如何申请信用卡额度调整？,请在‘XX银行App-额度管理’页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,如何申请信用卡额度调整？ || 请在‘XX银行App-额度管理’页面提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
如何申请暂时提高我的信用卡额度?,您可以在‘XX银行App-额度管理’中提交申请，系统将根据您的用卡记录与风险政策评估并提示结果。若需要临时额度，请按页面指引申请并注意到期恢复。,synthetic,synthetic,如何申请暂时提高我的信用卡额度? || 您可以在‘XX银行App-额度管理’中提交申请，系统将根据您的用卡记录与风险政策评估并提示结果。若需要临时额度，请按页面指引申请并注意到期恢复。
如何调整银行卡额度?,请在‘信用卡-额度管理’提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,如何调整银行卡额度? || 请在‘信用卡-额度管理’提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
如何转账失败的钱,部分异常会触发风控复核或退汇，请在‘转账记录’查看状态；如24小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。,synthetic,synthetic,如何转账失败的钱 || 部分异常会触发风控复核或退汇，请在‘转账记录’查看状态；如24小时内未入账或退回，请联系人工协查。请确认收款人姓名与卡号一致，避免误转。
如何避免被短信服务费/账户管理费收取?,费用以产品或服务条款为准，您可在‘我的-费用与权益/消息服务’查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。,synthetic,synthetic,如何避免被短信服务费/账户管理费收取? || 费用以产品或服务条款为准，您可在‘我的-费用与权益/消息服务’查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。
怎么办理银行卡的额度调整?,请先清空余额、取消代扣与绑订业务后在 'XX银行App-账户管理' 页面提交申请，结果以系统显示为准；如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,怎么办理银行卡的额度调整? || 请先清空余额、取消代扣与绑订业务后在 'XX银行App-账户管理' 页面提交申请，结果以系统显示为准；如线上不通过，请携带身份证原件至网点办理。
您可以在'XX银行App-账户管理'页面查看您的当前绑定信息，或拨打955xx热线咨询。,您可以在‘XX银行App-账户管理’页面查看您的当前绑定信息，也可以拨打955xx热线咨询，工作人员会协助处理相关事项,synthetic,synthetic,您可以在'XX银行App-账户管理'页面查看您的当前绑定信息，或拨打955xx热线咨询。 || 您可以在‘XX银行App-账户管理’页面查看您的当前绑定信息，也可以拨打955xx热线咨询，工作人员会协助处理相关事项
您可以查询最近三年的账单吗?,"为保护您的隐私，我们不会查看或公开您的具体消费明细。明细可在""账单/明细""自行查询；若发现异常交易，请第一时间联系人工协助处理。",synthetic,synthetic,"您可以查询最近三年的账单吗? || 为保护您的隐私，我们不会查看或公开您的具体消费明细。明细可在""账单/明细""自行查询；若发现异常交易，请第一时间联系人工协助处理。"
您好，能不能告诉我银行卡的额度？,您可在‘我的-额度管理’页面查看您的当前额度，或拨打955xx热线咨询。,synthetic,synthetic,您好，能不能告诉我银行卡的额度？ || 您可在‘我的-额度管理’页面查看您的当前额度，或拨打955xx热线咨询。
我卡上的积分如何查询?,请在'XX银行App-积分中心'页面查看您的当前积分情况，或者可以拨打955xx热线咨询。,synthetic,synthetic,我卡上的积分如何查询? || 请在'XX银行App-积分中心'页面查看您的当前积分情况，或者可以拨打955xx热线咨询。
我卡丢了怎么办?,请第一时间拨打热线选择对应按键，工作人员会协助处理盗刷事项,synthetic,synthetic,我卡丢了怎么办? || 请第一时间拨打热线选择对应按键，工作人员会协助处理盗刷事项
我卡丢了怎么办？,请立即联系我们客服热线，提供相关证明材料，我们会帮助您申请更换卡片并冻结原始卡号，以防止非法使用。,synthetic,synthetic,我卡丢了怎么办？ || 请立即联系我们客服热线，提供相关证明材料，我们会帮助您申请更换卡片并冻结原始卡号，以防止非法使用。
我卡被盗了怎么办?,请立即联系我们的人工客服，提供相关信息，我们会尽快处理,synthetic,synthetic,我卡被盗了怎么办? || 请立即联系我们的人工客服，提供相关信息，我们会尽快处理
我卡被盗了，怎么办?,请第一时间致电热线选择对应按键，或者在‘我的-账户管理’中提交申请，系统会评估您的风险政策并采取相应措施。,synthetic,synthetic,我卡被盗了，怎么办? || 请第一时间致电热线选择对应按键，或者在‘我的-账户管理’中提交申请，系统会评估您的风险政策并采取相应措施。
我卡被盗了，怎么办？,请第一时间联系人工热线选择对应按键处理，避免损失更多。,synthetic,synthetic,我卡被盗了，怎么办？ || 请第一时间联系人工热线选择对应按键处理，避免损失更多。
我卡被盗了，怎么处理？,请第一时间致电热线选择对应按键，工作人员会协助您处理盗刷事项。,synthetic,synthetic,我卡被盗了，怎么处理？ || 请第一时间致电热线选择对应按键，工作人员会协助您处理盗刷事项。
我卡被盗了，需要准备什么?,请先清空余额、取消代扣与绑订业务后办理注销。可在‘我的-账户管理-账户注销’提交申请；如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,我卡被盗了，需要准备什么? || 请先清空余额、取消代扣与绑订业务后办理注销。可在‘我的-账户管理-账户注销’提交申请；如线上不通过，请携带身份证原件至网点办理。
我卡被盗刷了怎么办?,请第一时间联系人工协助处理，提供相关证据和信息，我们会帮助您解决问题。,synthetic,synthetic,我卡被盗刷了怎么办? || 请第一时间联系人工协助处理，提供相关证据和信息，我们会帮助您解决问题。
我卡被盗刷了，怎么办?,请第一时间联系银行热线955xx，说明情况并提供相关证据。,synthetic,synthetic,我卡被盗刷了，怎么办? || 请第一时间联系银行热线955xx，说明情况并提供相关证据。
我卡被盗刷了，怎么办？,请第一时间联系银行热线955xx，说明情况并提供相关证据。,synthetic,synthetic,我卡被盗刷了，怎么办？ || 请第一时间联系银行热线955xx，说明情况并提供相关证据。
我卡被盗刷了，需要怎么办?,请第一时间拨打热线选择对应按键，工作人员会协助处理盗刷事项,synthetic,synthetic,我卡被盗刷了，需要怎么办? || 请第一时间拨打热线选择对应按键，工作人员会协助处理盗刷事项
我卡里的积分能用在什么地方?,积分可用于抵扣部分服务费、购买银行贷款利息优惠券或转换成现金，具体详情请参阅银行的积分政策与使用指南,synthetic,synthetic,我卡里的积分能用在什么地方? || 积分可用于抵扣部分服务费、购买银行贷款利息优惠券或转换成现金，具体详情请参阅银行的积分政策与使用指南
我想了解一下银行卡的余额?,您可以在‘XX银行App-账单/明细’中查询您的当前余额，或者通过电话与客服核实。,synthetic,synthetic,我想了解一下银行卡的余额? || 您可以在‘XX银行App-账单/明细’中查询您的当前余额，或者通过电话与客服核实。
我想了解信用卡积分兑换规则是什么?,您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。具体兑换规则以系统显示为准，另有专门说明栏位描述相关注意事项和政策变动,synthetic,synthetic,我想了解信用卡积分兑换规则是什么? || 您可以在'XX银行App-账户管理'页面查阅您的账户信息，或拨打955xx客服电话咨询。具体兑换规则以系统显示为准，另有专门说明栏位描述相关注意事项和政策变动
我想了解如何开启短信服务?,费用以产品或服务条款为准，您可在“我的-费用与权益/消息服务”查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。,synthetic,synthetic,我想了解如何开启短信服务? || 费用以产品或服务条款为准，您可在“我的-费用与权益/消息服务”查看当前收费项目与退订方式；如对费用有异议，请联系人工核实账期与条件。
我想了解如何查阅我的账务？,为保护隐私，我们不会查看您的具体消费明细。请在‘XX银行App-账单/明细’自行查询，或导出对账单；若需发票/凭证，请在明细页申请。,synthetic,synthetic,我想了解如何查阅我的账务？ || 为保护隐私，我们不会查看您的具体消费明细。请在‘XX银行App-账单/明细’自行查询，或导出对账单；若需发票/凭证，请在明细页申请。
我想了解如何调整信用卡额度?,额度调整需要系统评估，受用卡记录与风险政策影响。请在‘信用卡-额度管理’提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。,synthetic,synthetic,我想了解如何调整信用卡额度? || 额度调整需要系统评估，受用卡记录与风险政策影响。请在‘信用卡-额度管理’提交申请，结果以系统显示为准；如需临时额度，请按页面指引申请并留意到期恢复。
我想了解如何通过网银进行转账?,请先注册个人银行卡账户，然后在 '我的-账户管理-网银服务' 页面提交申请；如线上不通过，请携带身份证原件至网点办理。,synthetic,synthetic,我想了解如何通过网银进行转账? || 请先注册个人银行卡账户，然后在 '我的-账户管理-网银服务' 页面提交申请；如线上不通过，请携带身份证原件至网点办理。
我想了解如何通过银行 App 发起转账,"您可以在 ""XX银行App-转账"" 页面输入收款人姓名和卡号，设置转账金额，并确认交易详情。",synthetic,synthetic,"我想了解如何通过银行 App 发起转账 || 您可以在 ""XX银行App-转账"" 页面输入收款人姓名和卡号，设置转账金额，并确认交易详情。"
我想了解如何通过银行 App 转账到我自己的账户,您可以在 'XX银行App-转账' 页面选择 '转入自身账户'选项，输入转账金额并确认交易详情。,synthetic,synthetic,我想了解如何通过银行 App 转账到我自己的账户 || 您可以在 'XX银行App-转账' 页面选择 '转入自身账户'选项，输入转账金额并确认交易详情。
我想了解如何通过银行卡支付信用卡账单?,您可以在'XX银行App-账户管理'页面查看当前余额，或者通过电话热线 955xx 咨询工作人员,synthetic,synthetic,我想了解如何通过银行卡支付信用卡账单? || 您可以在'XX银行App-账户管理'页面查看当前余额，或者通过电话热线 955xx 咨询工作人员
